;1;P_t1;P_n1;2;P_t2;P_n2;3;P_t3;P_n3;4;P_t4;P_n4;5;P_t5;P_n5
0;19;0,682;1,131;16;1,437;0,952;5;4,169;0,298;24;0,637;1,429;20;0,672;1,19
1;17;0,259;1;20;0,311;1;15;1,538;0,556;24;0,147;1,333;20;0,155;1,111
2;7;1,282;0,821;24;0,147;1,145;6;2,043;0,496;25;0,146;1,393;20;0,155;1,145
3;4;3,969;0,701;12;0,546;1,075;21;0,583;0,701;16;0,332;1,328;20;0,155;1,194
4;7;3,237;0,684;4;3,218;0,962;14;0,448;0,772;15;0,787;1,316;20;0,155;1,266
5;6;3,255;0,625;20;0,622;1;17;0,669;0,812;22;0,351;1,312;20;0,155;1,25
6;8;2,848;0,612;14;0,448;0,989;23;0,237;0,908;11;0,594;1,232;20;0,155;1,259
7;22;0,542;0,706;2;3,736;0,879;19;0,158;0,942;18;0,508;1,217;20;0,155;1,256
8;21;0,153;0,755;24;0,615;0,925;11;0,594;0,891;22;0,151;1,204;20;0,155;1,224
9;4;1,073;0,706;23;0,149;0,977;9;2,197;0,86;23;0,149;1,229;20;0,155;1,229
10;1;7,431;0,672;18;0,16;1,025;9;2,398;0,863;1;1,858;1,165;20;0,155;1,275
11;4;4,556;0,646;8;0,748;0,996;22;0,523;0,92;12;2,32;1,146;20;0,155;1,292
12;11;2,375;0,641;20;0,557;1,003;25;0,146;0,959;17;0,776;1,125;20;0,155;1,272
13;17;0,82;0,663;16;0,332;0,99;17;0,259;0,954;24;0,234;1,138;20;0,155;1,254
14;6;1,394;0,65;20;0,311;1,017;1;2,944;0,903;22;0,151;1,165;20;0,155;1,266
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;19;0,682;1,131;16;1,437;0,952;5;4,169;0,298;24;0,637;1,429;20;0,672;1,19
;;0.6717744613537587;;;"1.1177505502993246
";;;"3.8019386722942015
";;;0.6300322083731604;;;0.6300322083731604;
